State,Agency Type,Agency,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Alaska,Cities,Anchorage,4,0,2,0,0,0,1,2,3,0,"287,731"
Alaska,Cities,Fairbanks,1,0,0,0,0,0,0,1,0,0,"31,493"
Alaska,Cities,Kotzebue,1,0,0,0,0,0,0,0,1,0,"3,272"
Alaska,Cities,North Pole,1,0,0,0,0,0,0,1,0,,"2,111"
Alaska,Cities,Soldotna,0,0,2,0,0,0,0,0,0,2,"4,756"
Arizona,Cities,Apache Junction,2,1,1,1,0,0,1,3,0,1,"42,531"
Arizona,Cities,Casa Grande,1,0,0,0,0,0,0,0,1,0,"58,366"
Arizona,Cities,Coolidge,4,0,0,0,0,0,2,2,0,0,"13,138"
Arizona,Cities,Flagstaff,0,1,0,0,0,0,1,0,0,0,"75,013"
Arizona,Cities,Gilbert,0,2,0,0,0,0,1,0,1,0,"253,619"
Arizona,Cities,Glendale,9,0,0,0,0,0,2,2,4,1,"253,951"
Arizona,Cities,Mesa,2,0,1,0,0,0,0,0,1,2,"518,160"
Arizona,Cities,Page,1,0,0,0,0,0,0,1,,,"7,588"
Arizona,Cities,Phoenix,111,20,23,0,2,3,31,43,33,44,"1,688,722"
Arizona,Cities,San Luis,1,0,0,0,0,0,0,0,0,1,"34,192"
Arizona,Cities,Scottsdale,1,1,1,0,0,0,1,2,0,0,"260,464"
Arizona,Cities,Somerton,1,0,0,0,0,0,0,0,0,1,"16,771"
Arizona,Cities,Surprise,2,1,0,0,0,0,0,2,0,1,"140,962"
Arizona,Cities,Tempe,1,0,0,0,0,0,0,1,0,0,"196,499"
Arizona,Cities,Tucson,6,6,4,0,0,0,4,5,5,2,"548,374"
Arizona,Cities,Yuma,1,0,0,2,0,0,1,0,0,2,"98,769"
Arizona,Universities and Colleges,University of Arizona,0,4,0,0,0,0,1,0,1,2,"48,318"
Arkansas,Cities,Benton,1,0,0,0,0,0,0,0,0,1,"37,161"
Arkansas,Cities,Conway,1,0,0,0,0,0,0,0,1,0,"67,336"
Arkansas,Cities,Fort Smith,4,0,0,0,0,0,0,0,2,2,"88,041"
Arkansas,Cities,Searcy,1,0,0,0,0,0,0,0,0,1,"23,873"
Arkansas,Nonmetropolitan Counties,Logan,1,0,0,0,0,0,0,0,0,1,
Arkansas,Nonmetropolitan Counties,Pope,0,0,1,0,0,0,0,1,0,0,
California,Cities,Alameda,2,0,0,0,0,0,0,1,0,1,"78,907"
California,Cities,Antioch,2,1,1,0,0,0,0,2,1,1,"112,641"
California,Cities,Apple Valley,0,0,2,0,0,0,0,2,0,0,"74,051"
California,Cities,Arvin,0,1,0,0,0,0,0,1,0,0,"21,811"
California,Cities,Azusa,2,0,1,0,0,0,0,2,1,0,"50,405"
California,Cities,Bakersfield,1,0,1,1,0,0,1,0,1,1,"388,080"
California,Cities,Beaumont,1,0,0,0,0,0,0,0,1,0,"50,990"
California,Cities,Bell,0,0,1,0,1,0,1,1,,0,"35,759"
California,Cities,Bellflower,1,0,0,0,0,0,0,1,0,0,"77,196"
California,Cities,Bell Gardens,0,0,1,0,0,0,0,1,0,0,"42,366"
California,Cities,Belmont,0,0,1,0,0,1,0,0,0,2,"27,272"
California,Cities,Berkeley,4,2,2,0,0,0,0,2,0,6,"122,788"
California,Cities,Beverly Hills,1,6,2,0,0,0,2,2,2,3,"34,211"
California,Cities,Big Bear,1,0,0,0,0,0,0,1,0,0,"5,311"
California,Cities,Brea,0,1,4,0,0,0,0,4,0,1,"44,155"
California,Cities,Brentwood,0,4,0,0,0,0,1,0,2,1,"65,483"
California,Cities,Brisbane,1,0,0,0,0,0,1,0,0,0,"4,746"
California,Cities,Buena Park,1,0,0,0,0,0,0,1,0,0,"82,627"
California,Cities,Burbank,7,0,0,0,0,0,2,4,1,0,"103,738"
California,Cities,Camarillo,1,0,0,0,0,0,0,1,0,0,"69,628"
California,Cities,Capitola,0,1,0,0,0,0,0,1,0,0,"10,101"
California,Cities,Carlsbad,5,0,0,0,0,0,0,2,0,3,"117,220"
California,Cities,Cathedral City,1,0,0,0,0,0,0,0,0,1,"55,346"
California,Cities,Central Marin,0,1,0,0,0,0,0,0,1,0,"34,793"
California,Cities,Chico,2,0,0,0,0,0,0,2,0,0,"95,826"
California,Cities,Chino,2,1,0,0,0,0,0,0,1,2,"93,348"
California,Cities,Chula Vista,6,2,0,0,1,0,4,1,2,2,"275,230"
California,Cities,Citrus Heights,1,0,1,0,0,0,0,1,0,1,"88,496"
California,Cities,Claremont,1,0,1,0,0,0,0,0,1,1,"36,681"
California,Cities,Clearlake,2,1,0,0,0,0,2,0,1,0,"15,400"
California,Cities,Clovis,1,0,0,0,0,0,0,0,0,1,"114,170"
California,Cities,Coachella,0,0,1,0,0,0,0,1,0,0,"46,485"
California,Cities,Compton,1,0,0,0,0,0,1,0,0,0,"96,638"
California,Cities,Concord,2,0,0,0,0,0,1,0,1,0,"130,615"
California,Cities,Coronado,0,0,1,0,0,1,0,0,2,0,"21,115"
California,Cities,Costa Mesa,3,0,0,0,0,0,1,0,2,0,"114,047"
California,Cities,Cupertino,1,0,0,0,0,0,0,0,0,1,"60,357"
California,Cities,Cypress,1,0,0,0,0,0,0,0,0,1,"49,085"
California,Cities,Davis,0,1,0,0,0,0,0,1,0,0,"69,767"
California,Cities,Delano,2,0,0,0,0,0,1,0,1,0,"53,002"
California,Cities,Dublin,1,0,0,0,0,0,0,0,1,0,"66,072"
California,Cities,El Cajon,1,0,0,0,0,0,0,1,0,0,"103,686"
California,Cities,El Cerrito,1,0,0,0,0,0,0,0,0,1,"25,857"
California,Cities,Elk Grove,0,1,0,0,0,0,0,0,0,1,"175,492"
California,Cities,El Monte,3,0,0,0,0,0,2,1,0,0,"115,830"
California,Cities,El Segundo,1,0,0,0,0,0,0,0,0,1,"16,727"
California,Cities,Emeryville,1,0,0,0,0,0,0,1,0,0,"12,380"
California,Cities,Escondido,3,1,0,0,0,0,2,0,0,2,"153,215"
California,Cities,Eureka,1,0,1,0,0,0,1,1,0,0,"26,973"
California,Cities,Fairfield,1,0,1,0,0,0,2,0,0,0,"118,383"
California,Cities,Folsom,0,0,1,0,0,0,0,0,0,1,"79,927"
California,Cities,Fontana,1,0,0,0,0,0,0,0,1,0,"215,883"
California,Cities,Fountain Valley,1,0,0,0,0,0,0,1,0,0,"55,858"
California,Cities,Fremont,2,2,0,0,0,0,0,1,1,2,"240,887"
California,Cities,Fresno,8,2,2,0,0,2,10,2,2,,"534,285"
